artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,tempo_class,key_name,mode_name,tonality,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
destiny's child,survivor,False,2001,0.786,0.455,0.907,0.914,0.7,0.057,0.0,0.906,0.621,161,254,Vivace,C#,Minor,C# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
eminem,stan,True,2000,0.933,0.77,0.755,0.8,0.389,0.038,0.0,0.597,0.502,80,404,Moderato,F#,Minor,F# Minor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kylie minogue,can't get you out of my head,False,2001,0.82,0.753,0.538,0.642,0.019,0.027,0.693,0.112,0.99,126,230,Veloce (Allegro),A,Minor,A Minor,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
christina aguilera,"lady marmalade - from ""moulin rouge"" soundtrack",False,2001,0.764,0.746,0.79,0.827,0.055,0.015,0.0,0.774,0.658,110,264,Allegretto,F,Major,F Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nelly furtado,i'm like a bird,False,2000,0.011,0.583,0.586,0.762,0.023,0.141,0.0,0.302,0.608,90,243,Moderato,A#,Major,A# Major,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
shakira,"whenever, wherever",False,2001,0.832,0.786,0.823,0.773,0.032,0.243,0.0,0.218,0.891,108,196,Moderato,C#,Minor,C# Minor,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
jimmy eat world,the middle,False,2001,0.876,0.608,0.841,0.745,0.053,0.038,0.0,0.044,0.925,162,165,Vivace,D,Major,D Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
train,drops of jupiter (tell me),False,2001,0.865,0.416,0.618,0.724,0.008,0.157,0.0,0.159,0.491,79,259,Moderato,C,Major,C Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
geri halliwell,it's raining men,False,2001,0.697,0.6,0.926,0.716,0.039,0.064,0.008,0.357,0.605,136,254,Veloce (Allegro),F,Minor,F Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blu cantrell,hit 'em up style (oops!),False,2001,0.798,0.636,0.761,0.767,0.064,0.206,0.0,0.46,0.673,90,250,Moderato,F,Minor,F Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
britney spears,i'm a slave 4 u,False,2001,0.775,0.849,0.835,0.837,0.15,0.425,0.0,0.103,0.989,110,203,Allegretto,F,Minor,F Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kylie minogue,in your eyes,False,2001,0.697,0.662,0.889,0.7,0.08,0.136,0.0,0.056,0.718,124,197,Veloce (Allegro),F#,Minor,F# Minor,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
missy elliott,one minute man (feat. ludacris),True,2001,0.64,0.583,0.65,0.598,0.553,0.027,0.0,0.157,0.569,94,252,Moderato,A,Major,A Major,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
mary j. blige,family affair,False,2001,0.854,0.924,0.526,0.828,0.039,0.135,0.0,0.078,0.996,93,265,Moderato,G#,Minor,G# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
faithless,we come 1 - radio edit,False,2015,0.596,0.61,0.898,0.49,0.038,0.002,0.811,0.151,0.612,136,222,Veloce (Allegro),F,Minor,F Minor,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
limp bizkit,rollin' (air raid vehicle),True,2000,0.82,0.56,0.93,0.848,0.267,0.006,0.0,0.222,0.718,96,213,Moderato,C#,Major,C# Major,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
